turf_name,latitude,longitude,service_address,pk_site_id,service_area_hectare,neighbourhood_id,turf_id,is_active,created_at,modified_at,duration_for_580d,duration_for_72gm,580d,72gm,service_site_id,service_level_id
WALKWAY #1 NS 38 AVE - 34 ST,53.47328478,-113.3944414,BETWEEN 3507 & 3511 - 38A AVE,2470,0.017,6370,75203,TRUE,2017-04-25 20:10:13.392545+00,2017-04-25 20:10:13.39+00,0:00:00,0:03:24,\N,0.017,15,900
ROADWAY BLVD,53.48187979,-113.4136244,SOUTH SIDE 44 AVE-BTWN 49 ST-WW AT JACK,2471,0.118,6330,75204,TRUE,2017-04-25 20:10:13.462995+00,2017-04-25 20:10:13.46+00,0:00:00,0:23:36,\N,0.118,6,900
LENDRUM/AVALON SCHOOLS/LENDRUM PARK/PLGDS,53.49282801,-113.5238408,54 AVE-113A ST,2472,5.002,5270,76234,TRUE,2017-04-25 20:11:32.926901+00,2017-04-25 20:11:32.93+00,2:00:03,3:20:05,4.0016,1.0004,,930
LY CAIRNS VOCATIONAL SCHOOL,53.4839836,-113.502906,46 AVE-106 ST,2473,2.861,5170,76235,TRUE,2017-04-25 20:11:32.997288+00,2017-04-25 20:11:33+00,1:06:00,2:12:12,2.2,0.661,,930
MCKEE SCHOOL/EMPIRE PARK/PLGD *PIP*,53.48622953,-113.5094554,51 AVE-107 ST,2474,5.021,5170,76236,TRUE,2017-04-25 20:11:33.070296+00,2017-04-25 20:11:33.07+00,1:46:48,4:52:12,3.56,1.461,,930
ST PETERS SCHOOL,53.5103273,-113.5249039,74 AVE-113 ST,2475,0.997,5290,76237,TRUE,2017-04-25 20:11:33.140367+00,2017-04-25 20:11:33.14+00,0:21:00,0:59:24,0.7,0.297,,930
WALKWAY,53.45769933,-113.5727275,#1247 Latta Crescent to #1861 Lemieux Close,2476,0.012,5630,76238,TRUE,2017-04-25 20:11:33.210939+00,2017-04-25 20:11:33.21+00,0:00:00,0:02:24,0,0.012,,900
GOLDBAR PARK,53.55582658,-113.4039236,10955 50 Street NW,2477,12.1186,6620,75205,TRUE,2017-04-25 20:10:13.536269+00,2017-04-25 20:10:13.54+00,5:09:01,6:03:33,10.301,1.818,48,920
RICHARD SECORD SCHOOL,53.47772887,-113.5337038,40 AVE-117 ST,2478,2.448,5430,76239,TRUE,2017-04-25 20:11:33.281412+00,2017-04-25 20:11:33.28+00,1:03:00,1:09:36,2.1,0.348,,930
ST BONIFACE SCHOOL/PARK/PLGD,53.47846112,-113.5376293,40 AVE-119 ST,2479,5.11,5430,76240,TRUE,2017-04-25 20:11:33.351928+00,2017-04-25 20:11:33.35+00,2:21:00,1:22:00,4.7,0.41,,930
SASKATCHEWAN DRIVE,53.51578395,-113.5376202,University Ave. to Kieler Rd.(76 Ave.) - Sask. Dr.,2481,1.13,5040,76241,TRUE,2017-04-25 20:11:33.422057+00,2017-04-25 20:11:33.42+00,0:19:12,1:38:00,0.64,0.49,,930
WALKWAY/PIPELINE RIGHT OF WAY,53.48002448,-113.4618142,BTWN-91 ST-MILLBOURNE RD W-42A-43 AVE,2482,0.999,6760,75206,TRUE,2017-04-25 20:10:13.611122+00,2017-04-25 20:10:13.61+00,0:04:30,2:49:48,0.15,0.849,12,900
WHITEMUD DRIVE,53.49597467,-113.5722449,Brookside Interchange,2483,4.329,5090,76242,TRUE,2017-04-25 20:11:33.493314+00,2017-04-25 20:11:33.49+00,1:50:24,2:09:48,3.68,0.649,,910
WALKWAY,53.46711652,-113.5036041,33 AVE-105A ST,2486,0.017,5470,76243,TRUE,2017-04-25 20:11:33.565602+00,2017-04-25 20:11:33.57+00,0:00:00,0:03:24,0,0.017,,900
RAINBOW VALLEY CAMPGROUND,53.48510629,-113.5549893,45 AVE-130 ST,2487,1.12,5560,76244,TRUE,2017-04-25 20:11:33.636159+00,2017-04-25 20:11:33.64+00,0:00:00,3:44:00,0,1.12,,900
ROADWAY,53.45386326,-113.4090297,EAST SIDE MILLWOODS RD E. & 20 - 23 AVE,2491,0.079,6150,75207,TRUE,2017-04-25 20:10:13.683989+00,2017-04-25 20:10:13.68+00,0:00:00,0:15:48,0,0.079,5,900
LRT R.O.W.,53.45955007,-113.4022907,NORTH OF 28 AVE-BTWN MILLWOODS RD-37 S,2492,0.675,6030,75208,TRUE,2017-04-25 20:10:13.755489+00,2017-04-25 20:10:13.76+00,0:13:10,0:47:12,0.439,0.236,13,900
WALKWAY,53.46655639,-113.5144368,34A AVE-110 ST,2494,0.012,5160,76245,TRUE,2017-04-25 20:11:33.706542+00,2017-04-25 20:11:33.71+00,0:00:00,0:02:24,0,0.012,,900
WALKWAY,53.47760857,-113.5095938,41 AVE-107A ST,2495,0.022,5360,76246,TRUE,2017-04-25 20:11:33.777598+00,2017-04-25 20:11:33.78+00,0:00:00,0:04:24,0,0.022,,900
ROAD BUFFER,53.48478352,-113.4991672,104A ST-45-48 AVE,2496,0.399,5170,76247,TRUE,2017-04-25 20:11:33.848122+00,2017-04-25 20:11:33.85+00,0:00:00,1:19:48,0,0.399,,910
ROADWAY,53.46599976,-113.4507729,WEST SIDE MILLWOODS RD BTWN 36-34 AVE,2499,0.198,6600,75209,TRUE,2017-04-25 20:10:13.83061+00,2017-04-25 20:10:13.83+00,0:00:00,0:39:36,0,0.198,4,900
UTILITY RIGHT OF WAY LOT,53.48174907,-113.565061,530 BUTTERWORTH WAY,2501,0.068,5100,76248,TRUE,2017-04-25 20:11:33.930976+00,2017-04-25 20:11:33.93+00,0:00:00,0:13:36,0,0.068,,900
NEIGHBOURHOOD PARK - P.I.P.,53.47479387,-113.5516172,39A AVE - ASPEN DRIVE WEST,2502,0.492,5020,76249,TRUE,2017-04-25 20:11:34.001508+00,2017-04-25 20:11:34+00,0:13:12,0:10:24,0.44,0.052,,900
WALKWAY,53.47648911,-113.4532758,East of School: 77 St & 40 Ave,2503,2.451,6760,75210,TRUE,2017-04-25 20:10:13.901459+00,2017-04-25 20:10:13.9+00,1:02:29,1:13:36,2.083,0.368,3,900
WALKWAY,53.44572733,-113.5660907,BETWEEN 1536 & 1537 THOROGOOD CLOSE,2504,0.011,5640,76250,TRUE,2017-04-25 20:11:34.072029+00,2017-04-25 20:11:34.07+00,0:00:00,0:02:12,0,0.011,,900
WALKWAY,53.44696747,-113.5660862,Btw. 927 Thompson Place to 1428 Thorogood Lane,2505,0.041,5640,76251,TRUE,2017-04-25 20:11:34.143828+00,2017-04-25 20:11:34.14+00,0:00:00,0:08:12,0,0.041,,900
DS McKENZIE/RIDEAU PARK SCHOOLS/PARK,53.47749859,-113.5070716,40 AVE-106 ST,2506,8.051,5360,76252,TRUE,2017-04-25 20:11:34.21777+00,2017-04-25 20:11:34.22+00,3:09:00,5:50:12,6.3,1.751,,930
BLACKBURNE DRIVE WEST ROAD BUFFERS,53.42927262,-113.514805,111 Street - #41 Blakburne Drive West,2509,0.377,5590,76253,TRUE,2017-04-25 20:11:34.289423+00,2017-04-25 20:11:34.29+00,0:04:30,0:45:24,0.15,0.227,,900
STORM WATER MANAGEMENT FACILITY,53.42392442,-113.5343163,1120 Rutherford Close,2517,0.874,5454,76254,TRUE,2017-04-25 20:11:34.359724+00,2017-04-25 20:11:34.36+00,0:00:00,2:54:48,0,0.874,,900
WALKWAY,53.42289898,-113.5330475,Btw. #1272 & #1274 Rutherford Road,2518,0.025,5454,76255,TRUE,2017-04-25 20:11:34.429779+00,2017-04-25 20:11:34.43+00,0:00:00,0:05:00,0,0.025,,900
WALKWAY,53.43094426,-113.5288545,Btw. #1254 & #1258McAllister Way,2520,0.007,5452,76256,TRUE,2017-04-25 20:11:34.500484+00,2017-04-25 20:11:34.5+00,0:00:00,0:01:24,0,0.007,,900
WALKWAY,53.43146835,-113.529666,Btw. #1663 & #1657 Melrose Place,2521,0.008,5452,76257,TRUE,2017-04-25 20:11:34.571076+00,2017-04-25 20:11:34.57+00,0:00:00,0:01:36,0,0.008,,900
WALKWAY,53.42826686,-113.4640743,86 St SW - SWMF - 85 St SW,2522,0.042,6211,75211,TRUE,2017-04-25 20:10:13.977185+00,2017-04-25 20:10:13.98+00,0:00:00,0:08:24,\N,0.042,11,900
Altalink Right of Way & WALKWAY,53.42391208,-113.4669234,South of Ellerslie Road & about 88 St SW,2523,0.086,6213,75212,TRUE,2017-04-25 20:10:14.050312+00,2017-04-25 20:10:14.05+00,0:01:37,0:06:24,0.054,0.032,31,900
WALKWAY,53.42373541,-113.46779,Btwn 541 & 547 Stewart Crescent,2524,0.032,6213,75213,TRUE,2017-04-25 20:10:14.121745+00,2017-04-25 20:10:14.12+00,0:00:00,0:06:24,\N,0.032,33,900
KATHLEEN McALLISTER PARK,53.55024676,-113.4191255,106 AVE-50 ST,2527,0.522,6240,75214,TRUE,2017-04-25 20:10:14.196644+00,2017-04-25 20:10:14.2+00,0:02:24,1:28:24,0.08,0.442,3,900
WALKWAY,53.43176569,-113.5302426,Btw. #1654 & #1646 Melrose Place,2530,0.013,5452,76258,TRUE,2017-04-25 20:11:34.641205+00,2017-04-25 20:11:34.64+00,0:00:00,0:02:36,0,0.013,,900
STORM WATER MANAGEMENT FACILITY,53.4319483,-113.5318355,1650 Melrose Place,2531,1.061,5452,76259,TRUE,2017-04-25 20:11:34.712299+00,2017-04-25 20:11:34.71+00,0:24:00,0:52:12,0.8,0.261,,900
WALKWAY,53.42531941,-113.5047646,BTW #731 - 107A ST. SW & #10703 - 8 AVE. SW,2532,0.02,5451,76260,TRUE,2017-04-25 20:11:34.788124+00,2017-04-25 20:11:34.79+00,0:00:00,0:04:00,0,0.02,,900
BLVD - E/S 107 ST SW,53.42615753,-113.5044248,Ellerslie Road - 107 Street,2534,0.1864,5451,76261,TRUE,2017-04-25 20:11:34.860203+00,2017-04-25 20:11:34.86+00,0:00:00,0:37:17,0,0.186,,900
LANSDOWNE DRIVE,53.48655979,-113.5521502,47 AVE-52B AVE,2537,1.598,5260,76262,TRUE,2017-04-25 20:11:34.930276+00,2017-04-25 20:11:34.93+00,0:38:20,1:04:00,1.278,0.32,,900
OTTEWELL CONDO WALKWAY C,53.52968843,-113.42164,54-56 ST-BTWN-92C-93A AVE,2546,0.146,6550,75215,TRUE,2017-04-25 20:10:14.282659+00,2017-04-25 20:10:14.28+00,0:00:00,0:29:12,\N,0.146,27,900
WALKWAY,53.42369109,-113.4434532,11 AVE SW - 66 ST,2547,0.016,6213,75216,TRUE,2017-04-25 20:10:14.360059+00,2017-04-25 20:10:14.36+00,0:00:00,0:03:12,0,0.016,44,900
WALKWAY,53.42297683,-113.4434544,East of Sunset Blvd (70 St) - 11 to 12 Ave SW,2548,0.04,6213,75217,TRUE,2017-04-25 20:10:14.446626+00,2017-04-25 20:10:14.45+00,0:00:00,0:08:00,0,0.04,45,900
OTTEWELL CONDO WALKWAY A,53.52883935,-113.4198349,52-54 ST-BTWN-92B-92C AVE,2549,0.027,6550,75218,TRUE,2017-04-25 20:10:14.516838+00,2017-04-25 20:10:14.52+00,0:00:00,0:05:24,\N,0.027,25,900
WALKWAY,53.52871346,-113.4223112,56 ST-92B AVE,2550,0.022,6550,75219,TRUE,2017-04-25 20:10:14.590486+00,2017-04-25 20:10:14.59+00,0:00:00,0:04:24,\N,0.022,24,900
ROAD ISLAND (BACK ALLEY),53.52415337,-113.4207201,52-56 ST-BTWN-90-91 AVE,2551,0.028,6550,75220,TRUE,2017-04-25 20:10:14.662876+00,2017-04-25 20:10:14.66+00,0:00:00,0:05:36,\N,0.028,29,900
ROAD ISLAND PIP,53.52490134,-113.4215776,56 ST-90A AVE,2552,0.019,6550,75221,TRUE,2017-04-25 20:10:14.733699+00,2017-04-25 20:10:14.73+00,0:00:00,0:03:48,\N,0.019,12,900
ROAD ISLAND (P.P.),53.45083073,-113.4458447,74 ST - 20 AVE,2553,0.03,6200,75222,TRUE,2017-04-25 20:10:14.804158+00,2017-04-25 20:10:14.8+00,0:00:00,0:06:00,\N,0.03,4,900
ROAD BUFFER/MEDIAN/ISLAND,53.47994832,-113.5154949,111 ST: 40 AVE to WHITEMUD DRIVE,2559,3.8338,5360,76263,TRUE,2017-04-25 20:11:35.008037+00,2017-04-25 20:11:35.01+00,1:32:01,2:33:21,3.067,0.767,,900
ROADWAY,53.45941169,-113.4189058,N/S & S/S 28 AVE: 50 ST - 48 ST,2562,0.44,6770,75223,TRUE,2017-04-25 20:10:14.880962+00,2017-04-25 20:10:14.88+00,0:03:18,1:06:00,0.11,0.33,12,900
Emily Murphy Park,53.5333067,-113.5356181,11904 Emily Murphy Park Road NW,2563,4.198,5370,76264,TRUE,2017-04-25 20:11:35.078442+00,2017-04-25 20:11:35.08+00,0:30:00,10:39:36,1,3.198,,930
WALKWAY,53.43110016,-113.5071706,Btw. #911 & #915 BLACKET WYND,2566,0.032,5590,76265,TRUE,2017-04-25 20:11:35.150434+00,2017-04-25 20:11:35.15+00,0:00:00,0:06:24,0,0.032,,900
TERWILLEGAR DRIVE,53.48066572,-113.5729237,45 Ave. to 40 Ave. East of 147 St.,2567,2.58,5340,76266,TRUE,2017-04-25 20:11:35.222555+00,2017-04-25 20:11:35.22+00,1:04:30,1:26:00,2.15,0.43,,900
WALKWAY,53.45833655,-113.5325684,26A AVE-SADDLEBACK ROAD-116 ST,2568,1.018,5060,76267,TRUE,2017-04-25 20:11:35.292834+00,2017-04-25 20:11:35.29+00,0:00:00,3:23:36,0,1.018,,900
WALKWAY,53.45344329,-113.5175838,22A AVE-111A ST,2569,0.034,5460,76268,TRUE,2017-04-25 20:11:35.362926+00,2017-04-25 20:11:35.36+00,0:00:00,0:06:48,0,0.034,,900
SIGN BED,53.44784983,-113.508512,19 AVE: BEARSPAW DRIVE EAST - 111 ST,2570,0.257,5250,76269,TRUE,2017-04-25 20:11:35.433746+00,2017-04-25 20:11:35.43+00,0:00:00,0:51:24,0,0.257,,900
WALKWAY,53.42890291,-113.4976774,#189 BLACKBURNE Drive West (behind 171 to 189),2571,0.013,5590,76270,TRUE,2017-04-25 20:11:35.504031+00,2017-04-25 20:11:35.5+00,0:00:00,0:02:36,0,0.013,,900
DRY POND/PARK/PLGD  P.I.P.,53.42905014,-113.5005662,ADJACENT/BEHIND #729 BLACKWOOD CR.,2572,1.255,5590,76271,TRUE,2017-04-25 20:11:35.574807+00,2017-04-25 20:11:35.57+00,0:30:00,0:51:00,1,0.255,,900
WALKWAY,53.47785338,-113.4616282,BTWN-MILLBOURNE RD W-91 ST-41-42 AVE,2575,0.525,6760,75224,TRUE,2017-04-25 20:10:14.956673+00,2017-04-25 20:10:14.96+00,0:00:00,1:45:00,\N,0.525,15,900
WALKWAY,53.45717461,-113.4486804,26 AVE-78 ST,2576,0.028,6470,75225,TRUE,2017-04-25 20:10:15.029565+00,2017-04-25 20:10:15.03+00,0:00:00,0:05:36,\N,0.028,8,900
ROADWAY,53.45897563,-113.4631064,NORTH SIDE 28 AVE BTWN 91 ST & LAKEWOO,2577,1.063,6750,75226,TRUE,2017-04-25 20:10:15.101576+00,2017-04-25 20:10:15.1+00,0:19:48,1:20:36,0.66,0.403,3,900
WALKWAY,53.47741361,-113.577458,40 AVE-147A ST,2579,0.019,5340,76272,TRUE,2017-04-25 20:11:35.645129+00,2017-04-25 20:11:35.65+00,0:00:00,0:03:48,0,0.019,,900
WALKWAY,53.47629227,-113.5972993,Btw. #435 & #433 ROONEY CRESENT,2580,0.005,5350,76273,TRUE,2017-04-25 20:11:35.71588+00,2017-04-25 20:11:35.72+00,0:00:00,0:01:00,0,0.005,,900
ROADWAY,53.45876841,-113.450742,NORTH SIDE 28 AVE & 79 ST - MILLWOODS RD,2581,0.592,6750,75227,TRUE,2017-04-25 20:10:15.172388+00,2017-04-25 20:10:15.17+00,0:08:46,1:00:00,0.292,0.3,17,900
RAVINE WALKWAY,53.47371089,-113.5644043,#624 BUTCHART WYND TO #444 BUTCHART DR,2582,0.008,5100,76274,TRUE,2017-04-25 20:11:35.786704+00,2017-04-25 20:11:35.79+00,0:00:00,0:01:36,0,0.008,,900
WALKWAY,53.46113518,-113.5554057,BTWN 963 & 967 HOLLINGSWORTH BEND,2583,0.011,5620,76275,TRUE,2017-04-25 20:11:35.857716+00,2017-04-25 20:11:35.86+00,0:00:00,0:02:12,0,0.011,,900
WALKWAY,53.46088366,-113.5588343,BTWN 997 & 998 HOLLINGSWORTH BEND,2584,0.012,5620,76276,TRUE,2017-04-25 20:11:35.930419+00,2017-04-25 20:11:35.93+00,0:00:00,0:02:24,0,0.012,,900
WALKWAY,53.45609851,-113.5649587,#1857 Holman Cr. To Rabbit Hill Rd.,2585,0.02,5620,76277,TRUE,2017-04-25 20:11:36.002623+00,2017-04-25 20:11:36+00,0:00:00,0:04:00,0,0.02,,900
ENTRANCE BLVDS & ISLAND,53.45083258,-113.5666506,Tory Gate - Tory Rd. to Rabbit Hill Rd.,2586,0.047,5640,76278,TRUE,2017-04-25 20:11:36.07856+00,2017-04-25 20:11:36.08+00,0:00:00,0:09:24,0,0.047,,900
ROADWAY BLVDS- PARSONS ROAD,53.42249618,-113.4789117,ELLERSLIE ROAD - SUMMERSIDE GATE,2587,0.232,6214,75228,TRUE,2017-04-25 20:10:15.315713+00,2017-04-25 20:10:15.32+00,0:00:00,0:46:24,\N,0.232,1,900
WALKWAY,53.46589914,-113.4296661,60 ST- 34 A AVE,2596,0.041,6300,75229,TRUE,2017-04-25 20:10:15.399987+00,2017-04-25 20:10:15.4+00,0:00:00,0:08:12,\N,0.041,15,900
WALKWAY,53.46598319,-113.4351038,65 ST- 34 A AVE,2597,0.02,6300,75230,TRUE,2017-04-25 20:10:15.478682+00,2017-04-25 20:10:15.48+00,0:00:00,0:04:00,\N,0.02,14,900
WALKWAY,53.46898911,-113.4427955,MILLBOURNE RD E-36A AVE-LEE RIDGE RD,2598,0.277,6400,75231,TRUE,2017-04-25 20:10:15.556725+00,2017-04-25 20:10:15.56+00,0:00:00,0:55:24,\N,0.277,14,900
MILL CREEK RAVINE PARK,53.52890203,-113.4821231,93 - 93 A AVE & 98 ST,2599,0.1,5480,75232,TRUE,2017-04-25 20:10:15.627711+00,2017-04-25 20:10:15.63+00,0:00:00,0:20:00,0,0.1,4,910
ROADWAY,53.46998118,-113.465656,ES 91 ST - 34 AVE - MILLWOODS RD SS - 87 ST,2601,1.427,6600,75233,TRUE,2017-04-25 20:10:15.700984+00,2017-04-25 20:10:15.7+00,0:00:00,4:45:24,\N,1.427,11,900
West Kinsmen Park,53.52840712,-113.5161759,High Level Bridge to Pumping Station,2604,0.696,5390,76279,TRUE,2017-04-25 20:11:36.150255+00,2017-04-25 20:11:36.15+00,0:17:46,0:20:48,0.592,0.104,,900
DITCHES,53.49698175,-113.5859687,WHITEMUD ROAD-15315-15625,2607,0.2,5080,76280,TRUE,2017-04-25 20:11:36.222544+00,2017-04-25 20:11:36.22+00,0:00:00,0:40:00,0,0.2,,900
NEIGHBORHOOD PARK,53.48776185,-113.5636818,51 AVE-142 ST,2608,1.144,5090,76281,TRUE,2017-04-25 20:11:36.296369+00,2017-04-25 20:11:36.3+00,0:26:13,0:54:00,0.874,0.27,,930
KNOB HILL PARK/ROADWAYS,53.53179874,-113.4797255,96A-97 ST-93-95 AVE,2610,0.352,6040,75234,TRUE,2017-04-25 20:10:15.772024+00,2017-04-25 20:10:15.77+00,0:08:58,0:10:36,0.299,0.053,36,900
WALKWAY,53.42291322,-113.4717312,570 SUMMERSIDE DRIVE,2611,0.022,6213,75235,TRUE,2017-04-25 20:10:15.842562+00,2017-04-25 20:10:15.84+00,0:00:00,0:04:24,\N,0.022,10,900
ROAD BUFFER,53.42754366,-113.5075108,5 Ave. - 109A to 107 St. SW,2622,0.133,5451,76282,TRUE,2017-04-25 20:11:36.367244+00,2017-04-25 20:11:36.37+00,0:00:00,0:26:36,0,0.133,,900
ROADWAY,53.44063989,-113.4187295,W/S & C 50 ST BTWN 11-13 AVE,2626,0.681,6140,75236,TRUE,2017-04-25 20:10:15.914537+00,2017-04-25 20:10:15.91+00,0:17:20,0:20:24,0.578,0.102,5,900
EAST ROAD BUFFER,53.44751444,-113.5124218,BEARSPAW DRIVE WEST/16-19 AVE,2631,0.036,5250,76283,TRUE,2017-04-25 20:11:36.43775+00,2017-04-25 20:11:36.44+00,0:00:00,0:07:12,0,0.036,,900
ST ELIZABETH SCH/GRACE MARTIN SCH/PIPELINE/PARK/C.L.,53.47026464,-113.4558261,MILLWOODS ROAD-36 AVE,2632,4.087,6600,75237,TRUE,2017-04-25 20:10:15.985108+00,2017-04-25 20:10:15.99+00,1:44:13,2:02:36,3.474,0.613,2,900
Greenway,53.43578847,-113.6267077,Westcliff Way SW & Watson Point SW,2634,0.4137,5570,76284,TRUE,2017-04-25 20:11:36.508517+00,2017-04-25 20:11:36.51+00,0:00:00,1:22:44,0,0.414,,900
STORM WATER MANAGEMENT FACILITY,53.43809452,-113.626929,Windermere Blvd & Watson Landing,2635,1.8461,5570,76285,TRUE,2017-04-25 20:11:36.579745+00,2017-04-25 20:11:36.58+00,0:44:18,1:13:51,1.477,0.369,,900
P.U.L. (TRANSALTA R.O.W.),53.47847993,-113.3811779,WEST OF 24 ST: BETWEEN 38 & 43A AVE,2640,3.956,6390,75238,TRUE,2017-04-25 20:10:16.060368+00,2017-04-25 20:10:16.06+00,1:40:53,1:58:36,3.363,0.593,25,900
HURSTWOOD PARK/ROADWAYS,53.5028667,-113.3485284,66 AVE - 3 ST,2642,3.8,6420,75239,TRUE,2017-04-25 20:10:16.131727+00,2017-04-25 20:10:16.13+00,1:54:00,0:00:00,3.8,0,5,900
ROADWAY BLVDS/CENTRE ISLAND-ENTRANCE,53.47272278,-113.3872758,31 ST-BTWN 37A-38 AVE,2644,0.104,6790,75240,TRUE,2017-04-25 20:10:16.204287+00,2017-04-25 20:10:16.2+00,0:00:00,0:20:48,\N,0.104,2,900
ROADWAY,53.47831237,-113.4657453,E/S 91 ST BTWN MILLWOODS RD & WHITEMUD,2645,1.212,6760,75241,TRUE,2017-04-25 20:10:16.275079+00,2017-04-25 20:10:16.28+00,0:00:00,4:02:26,0,1.212,10,900
ROADWAY AND BACKAGES,53.45308479,-113.5904715,Haddow Dr Terwilligar to Hanna,2650,0.143,5610,76286,TRUE,2017-04-25 20:11:36.650496+00,2017-04-25 20:11:36.65+00,0:00:00,0:28:36,0,0.143,,900
HILLVIEW SCHOOL/PLGD/JOHN PAUL I SCHOOL/WALKWAYS,53.46988154,-113.4269172,38 AVE-58 ST,2662,4.401,6300,75242,TRUE,2017-04-25 20:10:16.354656+00,2017-04-25 20:10:16.35+00,1:51:59,2:13:36,3.733,0.668,1,900
TransAlta Right of Way,53.46168881,-113.5921063,156 St. to Riverbend Road,2663,1.232,5190,76287,TRUE,2017-04-25 20:11:36.721977+00,2017-04-25 20:11:36.72+00,0:30:00,0:46:24,1,0.232,,900
ROADWAY,53.45531632,-113.4657287,ES 91 ST BTWN 23 - 28 AVE,2683,3.347,6470,75243,TRUE,2017-04-25 20:10:16.435988+00,2017-04-25 20:10:16.44+00,1:30:00,1:09:24,3,0.347,13,900
WALKWAY,53.44592659,-113.5436499,#1330 - 119B St,2686,0.026,5511,76288,TRUE,2017-04-25 20:11:36.792492+00,2017-04-25 20:11:36.79+00,0:00:00,0:05:12,0,0.026,,900
GEORGE H. LUCK SCHOOL/PARK/PLGD,53.47339753,-113.574114,#300 BULYEA ROAD,2687,10.26,5100,75706,TRUE,2017-04-25 20:10:51.397288+00,2017-04-25 20:10:51.4+00,4:50:15,1:57:00,9.675,0.585,,900
WINDSOR PLAYGROUND,53.52324627,-113.5352559,87 AVE-119 ST,2698,0.391,5580,76289,TRUE,2017-04-25 20:11:36.864752+00,2017-04-25 20:11:36.86+00,0:00:00,1:18:12,0,0.391,,930
ROADWAY,53.46433258,-113.4123796,SOUTH SIDE 34 AVE BTWN 50 ST-MILLWOODS RD E,2705,0.969,6770,75244,TRUE,2017-04-25 20:10:16.524071+00,2017-04-25 20:10:16.52+00,0:07:12,2:25:48,0.24,0.729,25,900
ES ROADWAY,53.4511817,-113.4484585,E/S MILLWOODS RD: 23 AVE - 80 ST,2711,0.514,6200,75245,TRUE,2017-04-25 20:10:16.606464+00,2017-04-25 20:10:16.61+00,0:00:00,1:42:48,\N,0.514,7,900
RAVINE WALKWAY/VIEWPOINT P.I.P.,53.44298286,-113.5127254,Running Creek Road - NISKU PIPELINE,2714,0.127,5511,76290,TRUE,2017-04-25 20:11:36.936881+00,2017-04-25 20:11:36.94+00,0:00:00,0:25:24,0,0.127,,900
WALKWAY P.I.P.,53.44236602,-113.5125309,11016-10 AVE,2715,0.008,5511,76291,TRUE,2017-04-25 20:11:37.007687+00,2017-04-25 20:11:37.01+00,0:00:00,0:01:36,0,0.008,,900
SASKATCHEWAN DRIVE,53.5237896,-113.508415,Saskatchewan Drive - 107 ST to 109 ST,2717,0.153,5200,76292,TRUE,2017-04-25 20:11:37.077936+00,2017-04-25 20:11:37.08+00,0:00:00,0:30:36,0,0.153,,900
WALKWAY,53.46203698,-113.5005138,30 AVE-105A ST,2718,0.015,5470,76293,TRUE,2017-04-25 20:11:37.149402+00,2017-04-25 20:11:37.15+00,0:00:00,0:03:00,0,0.015,,900
Whitemud Equestrian Park (Chargeout),53.50571845,-113.5501661,12505/06 - Kieler Road,2724,5.264,5400,76294,TRUE,2017-04-25 20:11:37.219252+00,2017-04-25 20:11:37.22+00,2:00:54,7:02:00,4.03,2.11,,900
WALKWAY (HOMEOWNERS ASSOCIATION TITLE),53.48066674,-113.5657028,BESIDE 532 BUTTERWORTH WAY,2726,0.026,5100,76295,TRUE,2017-04-25 20:11:37.289956+00,2017-04-25 20:11:37.29+00,0:00:00,0:05:12,0,0.026,,900
GRAUNKE PARK,53.46408987,-113.4191383,East of 50 St & South of 34 Ave,2731,0.656,6770,75246,TRUE,2017-04-25 20:10:16.90364+00,2017-04-25 20:10:16.9+00,0:04:41,1:40:00,0.156,0.5,14,900
ROAD BUFFER,53.44796486,-113.508894,19 AVE: BEARSPAW DRIVE EAST - 111 ST,2733,0.257,5250,76296,TRUE,2017-04-25 20:11:37.362265+00,2017-04-25 20:11:37.36+00,0:00:00,0:51:24,0,0.257,,900
ROADWAY,53.44587358,-113.4275826,NORTH SIDE MILLWOODS RD S-BTWN 66-50 S,2738,0.73,6460,75247,TRUE,2017-04-25 20:10:16.974767+00,2017-04-25 20:10:16.97+00,0:00:00,2:26:00,0,0.73,7,900
WALKWAY,53.47014473,-113.59503,1622 FORBES WAY TO 102 RABBIT HILL ROAD,2742,0.018,5190,76297,TRUE,2017-04-25 20:11:37.432399+00,2017-04-25 20:11:37.43+00,0:00:00,0:03:36,0,0.018,,900
ROAD ISLANDs and BLVDs,53.46702377,-113.5942514,Riverbend Rd. - RABBIT HILL RD to Trans Alta Right of Way.,2745,0.977,5190,76298,TRUE,2017-04-25 20:11:37.503721+00,2017-04-25 20:11:37.5+00,0:00:00,3:15:24,0,0.977,,900
ROADWAY,53.50219799,-113.4796743,WEST SIDE 97 ST-63-68 AVE,2753,0.673,6290,75248,TRUE,2017-04-25 20:10:17.047535+00,2017-04-25 20:10:17.05+00,0:00:00,2:14:36,\N,0.673,6,900
ROADWAY,53.44946359,-113.4197467,WEST SIDE 50 ST BTWN MILLWOODS RD S-23,2761,0.728,6460,75249,TRUE,2017-04-25 20:10:17.122851+00,2017-04-25 20:10:17.12+00,0:00:00,2:25:36,\N,0.728,5,900
STRATHCONA PARK/PLGD,53.52214433,-113.493411,87 AVE-102 ST,2762,1.063,5480,75250,TRUE,2017-04-25 20:10:17.196479+00,2017-04-25 20:10:17.2+00,0:00:00,3:32:36,0,1.063,,900
