SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,,,,,,,,
1092,SW#1 Andy,,Malmo Plains,48 AVE-112 ST,B1,11,1223,1223,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,M2,53.485140630,-113.521069800,0.4000,0.000,0.400,2,0.3,0:00:00,1:20:00,SW,,,,,,,,,,,,
1093,SW#1 Andy,,Malmo Plains,49 AVE-MALMO ROAD,B1,11,1224,1224,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,M1,53.486221880,-113.522358100,0.1110,0.000,0.111,2,0.3,0:00:00,0:22:12,SW,,,,,,,,,,,,
1094,SW#1 Andy,,Allendale,63A AVE-105-105A ST,B1,11,1225,1225,ROAD ISLAND (ALLEY),ROAD ISLAND (ALLEY),A4,53.500458460,-113.501243200,0.0750,0.000,0.075,2,0.3,0:00:00,0:15:00,SW,,,,,,,,,,,,
1095,SW#4 Kelvin,,Rhatigan Ridge,251 Rhatigan Rd E,B1,11,1237,1237,ROAD ISLAND,ROAD ISLAND,RR3,53.474530480,-113.582503000,0.0022,0.000,0.002,2,0.3,0:00:00,0:00:26,SW,,,,,,,,,,,,
1096,SW#4 Kelvin,,Rhatigan Ridge,#447 RONNING STREET to #481 Ronning Street,B1,11,1238,1238,WALKWAY P.I.P.,WALKWAY P.I.P.,RR31,53.474560150,-113.593961000,0.0410,0.000,0.041,2,0.3,0:00:00,0:08:12,SW,,,,,,,,,,,,
1097,SW#2 Norm,,Twin Brooks,11322-10 AVE,B1,11,1239,1239,ROAD ISLAND,ROAD ISLAND,TB40,53.484671290,-113.563798000,0.0080,0.000,0.008,2,0.3,0:00:00,0:01:36,SW,,,,,,,,,,,,
1098,SW#4 Kelvin,,Brookside,47 AVE-141 ST,A2,12,1240,1240,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,BR4,,,0.1930,0.163,0.030,2,0.3,0:04:53,0:06:00,SW,,,,,,,,,,,,
1099,SW#2 Norm,,Twin Brooks,118ST-10A AVE,B1,11,1243,1243,WALKWAY,WALKWAY,TB26,53.441157910,-113.535792600,0.0040,0.000,0.004,2,0.3,0:00:00,0:00:48,SW,,,,,,,,,,,,
1100,SW#2 Norm,,Twin Brooks,10 AVE/116A-118 ST,B1,11,1244,1244,WALKWAY,WALKWAY,TB25,53.440074210,-113.535642700,0.0320,0.000,0.032,2,0.3,0:00:00,0:06:24,SW,,,,,,,,,,,,
1101,SW#4 Kelvin,,Rhatigan Ridge,#509 RONNING ST,B1,11,1245,1245,KINROSS-KERR PARK/PLGD,KINROSS - KERR PARK/PLGD,RR29,53.476168670,-113.596397700,0.1830,0.128,0.055,2,0.3,0:03:50,0:11:00,SW,,,,,,,,,,,,
1102,SW#4 Kelvin,,Rhatigan Ridge,#811 ROMANIUK PLACE,B1,11,1248,1248,ROAD ISLAND P.I.P.,ROAD ISLAND P.I.P.,RR24,53.479162350,-113.591153700,0.0340,0.000,0.034,2,0.3,0:00:00,0:06:48,SW,,,,,,,,,,,,
1103,SW#1 Andy,,Duggan,36 AVE-104 ST,B1,11,1249,1249,ROAD ISLAND,ROAD ISLAND,RD20,53.471440500,-113.497096800,0.0540,0.000,0.054,2,0.3,0:00:00,0:10:48,SW,,,,,,,,,,,,
1104,SW#2 Norm,,Steinhauer,33 AVE-104 ST,B1,11,1255,1255,ROAD ISLAND,ROAD ISLAND,ST12,53.466924120,-113.498779100,0.0580,0.000,0.058,2,0.3,0:00:00,0:11:36,SW,,,,,,,,,,,,
1105,SW Stacey,,Rutherford,#1133 Rutherford Close - #1044 Rutherford Place,B1,11,1257,1257,WALKWAY,WALKWAY,R13,53.424492330,-113.530302300,0.0580,0.000,0.058,2,0.3,0:00:00,0:11:36,SW,,,,,,,,,,,,
1106,SW#2 Norm,,Greenfield,35 AVE-113-115 ST,B1,11,1262,1262,WE & JA WERNER PARK,WE & JA WERNER PARK,GR6,53.468283130,-113.527217100,0.6440,0.000,0.644,2,0.3,0:00:00,2:08:48,SW,,,,,,,,,,,,
1107,SW#4 Kelvin,,Rhatigan Ridge,#704 ROMANIUK ROAD # Romaniuk Road,B1,11,1263,1263,WALKWAY P.I.P.,WALKWAY P.I.P.,RR23,53.478262590,-113.593051500,0.0110,0.000,0.011,2,0.3,0:00:00,0:02:12,SW,,,,,,,,,,,,
1108,SW#2 Norm,,Blue Quill Estates,28A AVE-123-124 ST,B1,11,1279,1279,WALKWAY,WALKWAY,BE5,53.459010850,-113.541846200,0.0440,0.000,0.044,2,0.3,0:00:00,0:08:48,SW,,,,,,,,,,,,
1109,SW#1 Andy,,Lendrum Place,57 AVE-112 ST,B1,11,1287,1287,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,L7,53.494801080,-113.520349200,0.0450,0.000,0.045,2,0.3,0:00:00,0:09:00,SW,,,,,,,,,,,,
1110,SW#2 Norm,,Royal Gardens,41 AVE-113 ST,B1,11,1288,1288,ROAD ISLAND,ROAD ISLAND,RG4,53.476761930,-113.524076400,0.0230,0.000,0.023,2,0.3,0:00:00,0:04:36,SW,,,,,,,,,,,,
1111,SW#2 Norm,,Blue Quill,Saddleback Road - 23 AVE to25 AVE,B1,11,1289,1289,SADDLEBACK ROAD,SADDLEBACK ROAD,BQ3,53.455396540,-113.525659200,0.0860,0.000,0.086,2,0.3,0:00:00,0:17:12,SW,,,,,,,,,,,,
1112,SW#1 Andy,,Belgravia,79 Ave - 116 St,B1,11,1293,1293,Neighbourhood Park,Neighbourhood Park,B16,53.515312890,-113.532967700,0.2260,0.126,0.100,2,0.3,0:03:47,0:20:00,SW,,,,,,,,,,,,
1113,SW#1 Andy,,McKernan,73 AVE-111A-112A ST,A2,12,1294,1294,SMALL PARKS (4),SMALL PARKS (4),M6,53.509900580,-113.519800600,0.1050,0.000,0.105,2,0.3,0:00:00,0:21:00,SW,,,,,,,,,,,,
1114,SW#4 Kelvin,,Bulyea Heights,#909 BURLEY DRIVE,B1,11,1295,1295,ROAD ISLAND,ROAD ISLAND,B13,53.469402090,-113.567774100,0.0330,0.000,0.033,2,0.3,0:00:00,0:06:36,SW,,,,,,,,,,,,
1115,SW#4 Kelvin,,Bulyea Heights,#910 BURLEY DRIVE,B1,11,1296,1296,ROAD ISLAND,ROAD ISLAND,B12,53.469119130,-113.567390500,0.0190,0.000,0.019,2,0.3,0:00:00,0:03:48,SW,,,,,,,,,,,,
1116,SW#4 Kelvin,,Bulyea Heights,#923 BURLEY DRIVE,B1,11,1297,1297,ROAD ISLAND,ROAD ISLAND,B14,53.469143010,-113.569246900,0.0380,0.000,0.038,2,0.3,0:00:00,0:07:36,SW,,,,,,,,,,,,
1117,SW Stacey,,Rutherford,Behind #1740 RUTHERFORD POINT to Rutherford Road,B1,11,1309,1309,MUNICIPAL RESERVE,Bush Walkway,R17,53.423399420,-113.537686000,0.1630,0.000,0.163,2,0.3,0:00:00,0:32:36,SW,,,,,,,,,,,,
1118,SW Stacey,,Blackburne,#356 BLACKBURNE DRIVE EAST,B1,11,1329,1329,WALKWAY,WALKWAY,B12,53.432013460,-113.495715500,0.0240,0.000,0.024,2,0.3,0:00:00,0:04:48,SW,,,,,,,,,,,,
1119,SW#4 Kelvin,,Brander Gardens,WHITEMUD ROAD-57-58 AVE,B1,11,1338,1338,WALKWAY,WALKWAY P.I.P.,BG13,53.495259050,-113.582647900,0.0350,0.000,0.035,2,0.3,0:00:00,0:07:00,SW,,,,,,,,,,,,
1120,SW#4 Kelvin,,Leger,BTWN 733 & 737 LAUBER CRESCENT,B1,11,1339,1339,WALKWAY,WALKWAY,L3,53.461171290,-113.573818000,0.0140,0.000,0.014,2,0.3,0:00:00,0:02:48,SW,,,,,,,,,,,,
1121,SW Stacey,,Terwilleger TOWNE,Tegler Gate - Tory Rd. to 23 ave.,B1,11,1343,1343,Road BLVDs and Median,ENTRANCE BACKAGES & ISLAND,TT2,53.453490250,-113.573548600,0.0530,0.000,0.053,2,0.3,0:00:00,0:10:36,SW,,,,,,,,,,,,
1122,SW#2 Norm,,Blue Quill,23A AVE-111A ST,B1,11,1349,1349,WALKWAY,WALKWAY,BQ6,53.454448780,-113.517815500,0.0180,0.000,0.018,2,0.3,0:00:00,0:03:36,SW,,,,,,,,,,,,
1123,SW Stacey,,Rutherford,119 St. SW to Rutherford Close - N side Rutherford Road SW,B1,11,1350,1350,BLVD - RUTHERFORD ROAD N/S,Backage - Rutherford Road N/S,R10,53.422653840,-113.530001800,0.0260,0.000,0.026,2,0.3,0:00:00,0:05:12,SW,,,,,,,,,,,,
1124,SW Stacey,,Rutherford,Beside #1740 RUTHERFORD POINT,B1,11,1351,1351,WALKWAY,WALKWAY/Backage,R16,53.424379910,-113.536372600,0.0180,0.000,0.018,2,0.3,0:00:00,0:03:36,SW,,,,,,,,,,,,
1125,SW Stacey,,MacEwan,Btw. #646 & #616 & behind #616 & #710 McAllister Loop SW,B1,11,1352,1352,BACKAGE/WALKWAYs (2),Backage/Walkways (2),ME4,53.432119310,-113.521395900,0.5030,0.303,0.200,2,0.3,0:09:05,0:40:00,SW,,,,,,,,,,,,
1126,SW#4 Kelvin,,BULYEA HEIGHTS,WHITEMUD CREEK - TERWILLEGAR INTERCHANGE,B2,8,1353,1353,WHITEMUD DRIVE,WHITEMUD CREEK - TERWILLEGAR INTERCHANGE,66107,53.482007265,-113.563269958,0.3530,0.000,0.353,2,0.3,0:00:00,1:10:36,SW,Weekend - Roadway,0.3418867716,0.3529701173,"Naturalized - 72"" One Pass",,,,,,,,
1127,SW#1 Andy,,McKernan,79 AVE - 115 ST,A2,12,1366,1366,CHARLES SIMMONS PARK/PLGD *PIP*,CHARLES SIMMONS PARK/PLGD *PIP*,B17,53.515153150,-113.530103800,1.3390,0.970,0.369,2,0.3,0:29:06,1:13:48,SW,,,,,,,,,,,,
1128,SW#1 Andy,,Belgravia,72 AVE-119 ST,B1,11,1367,1367,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,B5,53.508009150,-113.538195400,0.0520,0.000,0.052,2,0.3,0:00:00,0:10:24,SW,,,,,,,,,,,,
1129,SW#1 Andy,,Pleasantview,61 AVE-105B ST,B1,11,1369,1369,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,PL11,53.497596600,-113.502577900,0.2050,0.000,0.205,2,0.3,0:00:00,0:41:00,SW,,,,,,,,,,,,
1130,SW#1 Andy,,Pleasantview,51 AVE ALLERD WAY - 110 ST,B1,11,1370,1370,NEIGHBORHOOD PARK,ROAD BUFFER/ ISLANDS,PL14,53.488412240,-113.510957700,0.1672,0.000,0.167,2,0.3,0:00:00,0:33:26,SW,,,,,,,,,,,,
1131,SW#1 Andy,,Pleasantview,60 AVE-106 ST-107 ST,B1,11,1371,1371,NEIGHBORHOOD PARK/ROAD BUFFER,NEIGHBORHOOD PARK/ROAD BUFFER,PL5,53.494486840,-113.505273400,0.1530,0.000,0.153,2,0.3,0:00:00,0:30:36,SW,,,,,,,,,,,,
1132,SW#1 Andy,,Pleasantview,60 AVE-106 ST,B1,11,1372,1372,ROAD BUFFER,ROAD BUFFER,PL6,53.495489240,-113.504561800,0.0100,0.000,0.010,2,0.3,0:00:00,0:02:00,SW,,,,,,,,,,,,
1133,SW#1 Andy,,Pleasantview,60 AVE-109-109A ST,B1,11,1373,1373,ROAD ISLAND (2),ROAD ISLAND (2),PL2,53.497178440,-113.512649800,0.0270,0.000,0.027,2,0.3,0:00:00,0:05:24,SW,,,,,,,,,,,,
1134,SW#2 Norm,,Grandview Heights,62A AVE-124 ST,B1,11,1374,1374,GRANDVIEW PARK,GRANDVIEW PARK,GR3,53.499457640,-113.542479400,0.7970,0.000,0.797,2,0.3,0:00:00,2:39:24,SW,,,,,,,,,,,,
1135,SW#2 Norm,,Grandview Heights,65 AVE-124 ST,B1,11,1375,1375,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,GR6,53.502032470,-113.543991400,0.2900,0.000,0.290,2,0.3,0:00:00,0:58:00,SW,,,,,,,,,,,,
1136,SW#2 Norm,,Grandview Heights,65 AVE-126 ST,B1,11,1376,1376,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,GR7,53.500953690,-113.547890700,0.3990,0.000,0.399,2,0.3,0:00:00,1:19:48,SW,,,,,,,,,,,,
1137,SW#2 Norm,,Grandview Heights,65 AVE-129 ST,B1,11,1377,1377,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,GR8,53.499743100,-113.551837400,0.1980,0.000,0.198,2,0.3,0:00:00,0:39:36,SW,,,,,,,,,,,,
1138,SW#2 Norm,,Grandview Heights,63 AVE-129 ST,B1,11,1378,1378,GRANDVIEW HEIGHTS TURNAROUND CHARGEOUT,Grandview Heights Turnaround CHARGEOUT,GR9,53.498713120,-113.550714400,0.0600,0.000,0.060,2,0.3,0:00:00,0:12:00,SW,,,,,,,,,,,,
1139,SW#2 Norm,,Twin Brooks,#104-TWIN BROOKS COVE,B1,11,1386,1386,ROAD ISLAND,WALKWAY,TB33,53.441692280,-113.529492300,0.0200,0.000,0.020,2,0.3,0:00:00,0:04:00,SW,,,,,,,,,,,,
1140,SW#2 Norm,,Sweet Grass,29 AVE-111A ST,B1,11,1390,1390,WALKWAY,WALKWAY,SG3,53.462027200,-113.517596200,0.0260,0.000,0.026,2,0.3,0:00:00,0:05:12,SW,,,,,,,,,,,,
1141,SW#2 Norm,,Sweet Grass,31-31A AVE-113A ST,B1,11,1391,1391,WALKWAY,WALKWAY,SG11,53.464159420,-113.526308200,0.0170,0.000,0.017,2,0.3,0:00:00,0:03:24,SW,,,,,,,,,,,,
1142,SW#2 Norm,,Sweet Grass,32-33A AVE-115 ST,B1,11,1392,1392,WALKWAY,WALKWAY,SG9,53.465922500,-113.530965500,0.0310,0.000,0.031,2,0.3,0:00:00,0:06:12,SW,,,,,,,,,,,,
1143,SW#2 Norm,,Sweet Grass,33 AVE-111B-112 ST,B1,11,1393,1393,WALKWAY,WALKWAY,SG15,53.465234850,-113.520124900,0.0390,0.000,0.039,2,0.3,0:00:00,0:07:48,SW,,,,,,,,,,,,
1144,SW#4 Kelvin,,Brookside,60 AVE-143A ST,A2,12,1394,1394,ROAD ISLAND,NEIGHBORHOOD PARK,BR13,53.497955710,-113.568326900,0.1390,0.083,0.056,2,0.3,0:02:29,0:11:12,SW,,,,,,,,,,,,
1145,SW Stacey,,Blackmud Creek,#2080 BLACKMUD CREEK DRIVE,B1,11,1395,1395,ROAD ISLAND,ROAD ISLAND,BL10,53.420858970,-113.508967700,0.0450,0.000,0.045,2,0.3,0:00:00,0:09:00,SW,,,,,,,,,,,,
1146,SW Stacey,,Haddow,#437 Hunters Green to #535 Hunters Green,B1,11,1399,1399,WALKWAY,WALKWAY,H11,53.455397610,-113.592951400,0.0330,0.000,0.033,2,0.3,0:00:00,0:06:36,SW,,,,,,,,,,,,
1147,SW#2 Norm,,Twin Brooks,09 AVE-113-116 ST,B1,11,1400,1400,ROAD ISLAND,PIPELINE RIGHT OF WAY,TB45,53.470681940,-113.570381800,0.8690,0.000,0.869,2,0.3,0:00:00,2:53:48,SW,,,,,,,,,,,,
1148,SW#2 Norm,,Twin Brooks,12 AVE-TWIN BROOKS CRESCENT,B1,11,1404,1404,WALKWAY,WALKWAY,TB6,53.445048950,-113.529294200,0.0160,0.000,0.016,2,0.3,0:00:00,0:03:12,SW,,,,,,,,,,,,
1149,SW#2 Norm,,Twin Brooks,#430-TWIN BROOKS CRESCENT,B1,11,1405,1405,WALKWAY,WALKWAY,TB5,53.446253990,-113.528644900,0.0270,0.000,0.027,2,0.3,0:00:00,0:05:24,SW,,,,,,,,,,,,
1150,SW#4 Kelvin,,Bulyea Heights,#269 BURTON ROAD,B1,11,1416,1416,ROAD ISLAND,ROAD ISLAND,B23,53.476227910,-113.566580700,0.0340,0.000,0.034,2,0.3,0:00:00,0:06:48,SW,,,,,,,,,,,,
1151,SW#2 Norm,,Twin Brooks,9 AVE-118 ST,B1,11,1417,1417,ROAD ISLAND,ROAD ISLAND,TB50,53.437888430,-113.537865200,0.0210,0.000,0.021,2,0.3,0:00:00,0:04:12,SW,,,,,,,,,,,,
1152,SW#4 Kelvin,,Bulyea Heights,OEMING ROAD - TERWILLIGAR DR,B1,11,1421,1421,BLVDS (H. A. RESPONSIBILITY),BULYEA ROAD,B5,53.470763570,-113.571885700,0.3120,0.000,0.312,2,0.3,0:00:00,1:02:24,SW,,,,,,,,,,,,
1153,SW#1 Andy,,Empire Park,106 ST-45-47 AVE,B1,11,1427,1427,ROAD MERIDEAN,ROAD MERIDEAN,E1,53.482655970,-113.504400100,0.0410,0.000,0.041,2,0.3,0:00:00,0:08:12,SW,,,,,,,,,,,,
1154,SW#1 Andy,,Lendrum Place,54A AVE-111A ST,B1,11,1428,1428,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,L9,53.491721110,-113.519869900,0.1290,0.000,0.129,2,0.3,0:00:00,0:25:48,SW,,,,,,,,,,,,
1155,SW#1 Andy,,Lendrum Place,51 AVE - 112 ST,B1,11,1429,1429,NEIGHBORHOOD PARK,NEIGHBOURHOOD PARK,L14,53.488595950,-113.520008400,0.1110,0.000,0.111,2,0.3,0:00:00,0:22:12,SW,,,,,,,,,,,,
1156,SW#1 Andy,,Lendrum Place,51 AVE - 114A ST,B1,11,1430,1430,NEIGHBORHOOD PARK,NEIGHBOURHOOD PARK,L15,53.488598520,-113.525690900,0.0940,0.000,0.094,2,0.3,0:00:00,0:18:48,SW,,,,,,,,,,,,
1157,SW#1 Andy,,Lendrum Place,54 AVE-114 ST,B1,11,1431,1431,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,L5,53.490922750,-113.525028300,0.4550,0.000,0.455,2,0.3,0:00:00,1:31:00,SW,,,,,,,,,,,,
1158,SW#1 Andy,,Lendrum Place,58 AVE-114A ST,B1,11,1432,1432,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,L4,53.494873810,-113.527134600,0.1210,0.000,0.121,2,0.3,0:00:00,0:24:12,SW,,,,,,,,,,,,
1159,SW#1 Andy,,U OF A,56 Ave east of 115 St,B1,11,1433,1433,ROAD BUFFER,WALKWAY south from South Campus Station,P17,53.492571150,-113.528935800,0.5220,0.000,0.522,2,0.3,0:00:00,1:44:24,SW,,,,,,,,,,,,
1160,SW#2 Norm,,Lansdowne,52 AVE-124 ST,B1,11,1434,1434,ROAD ISLAND,ROAD ISLAND,LA5,53.489807380,-113.548294000,0.0310,0.000,0.031,2,0.3,0:00:00,0:06:12,SW,,,,,,,,,,,,
1161,SW#1 Andy,,Malmo Plains,49 AVE-114 ST,A2,12,1437,1437,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,M3,53.486132550,-113.525176100,0.3570,0.000,0.357,2,0.3,0:00:00,1:11:24,SW,,,,,,,,,,,,
1162,SW#2 Norm,,Aspen Gardens,41 AVE-123 ST,B1,11,1441,1441,ROAD ISLAND P.I.P.,ROAD ISLAND P.I.P.,AG5,53.476946600,-113.545720200,0.0500,0.000,0.050,2,0.3,0:00:00,0:10:00,SW,,,,,,,,,,,,
1163,SW#1 Andy,,Queen Alexanda,78 AVE-108 ST,A2,12,1442,1442,JOE MORRIS PARK *PIP*,JOE MORRIS PARK *PIP*,QA11,53.514046440,-113.510409000,0.4380,0.000,0.438,2,0.3,0:00:00,1:27:36,SW,,,,,,,,,,,,
1164,SW Stacey,,MacEwan,#3845 MCLEAN CLOSE to #221 MacEwan Road,B1,11,1459,1459,WALKWAY,WALKWAY,ME6,53.428627870,-113.526464400,0.0310,0.000,0.031,2,0.3,0:00:00,0:06:12,SW,,,,,,,,,,,,
1165,SW#4 Kelvin,,Hodgson,938 Hollingsworth Bend - 520 HODGSON RD,B1,11,1460,1460,WALKWAY,WALKWAY,HO13,53.458810600,-113.555630000,0.0370,0.000,0.037,2,0.3,0:00:00,0:07:24,SW,,,,,,,,,,,,
1166,SW#1 Andy,,Calgary Trail North,51 Ave. - Calgary Trail South,B1,11,1467,1467,ROAD ISLAND,ROAD ISLAND,PL13,53.487959730,-113.495164000,0.0230,0.000,0.023,2,0.3,0:00:00,0:04:36,SW,,,,,,,,,,,,
1167,SW#1 Andy,,Windsor Park,84 AVE-118 ST,B1,11,1491,1491,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,W13,53.520522550,-113.534634900,0.1890,0.000,0.189,2,0.3,0:00:00,0:37:48,SW,,,,,,,,,,,,
1168,SW#1 Andy,,Queen Alexanda,80 AVE-108 ST,A2,12,1492,1492,Tipton Arena Park,Tipton Arena Park,QA12,53.516625690,-113.510632300,0.9950,0.900,0.095,2,0.3,0:27:00,0:19:00,SW,,,,,,,,,,,,
1169,SW#2 Norm,,Blue Quill Estates,28-29 AVE-125-126 ST,B1,11,1494,1494,RAVINE BUFFER,RAVINE BUFFER,BE8,53.458910790,-113.546767500,2.0260,1.376,0.650,2,0.3,0:41:17,2:10:00,SW,,,,,,,,,,,,
1170,SW#4 Kelvin,,Bulyea Heights,#328 BUCHANAN WAY,B1,11,1496,1496,WALKWAY,WALKWAY,B8,53.468441050,-113.579732500,0.0180,0.000,0.018,2,0.3,0:00:00,0:03:36,SW,,,,,,,,,,,,
1171,SW Stacey,,Blackmud Creek,BETWEEN #527 & #531 BYRNE CRESCENT,B1,11,1499,1499,WALKWAY,WALKWAY (PIP) No Mow,BL4,53.422341600,-113.504402200,0.0090,0.000,0.009,2,0.3,0:00:00,0:01:48,SW,,,,,,,,,,,,
1172,SW Stacey,,Blackmud Creek,#2303 Bailey Court - #922 Blackmud Creek Cres.,B1,11,1500,1500,WALKWAY,WALKWAY,BL17,53.419077410,-113.508468900,0.0270,0.000,0.027,2,0.3,0:00:00,0:05:24,SW,,,,,,,,,,,,
1173,SW#1 Andy,,Parkallen,70 AVE-109A ST,B1,11,1505,1505,VIOLET ARCHER PARK/PLGD,VIOLET ARCHER PARK/PLGD,P2,53.506816280,-113.513359500,0.3080,0.000,0.308,2,0.3,0:00:00,1:01:36,SW,,,,,,,,,,,,
1174,SW#1 Andy,,McKernan,76 AVE-112 ST,A2,12,1506,1506,McKERNAN PARK/PLGD,McKERNAN PARK/PLGD,M3,53.511534140,-113.519270800,0.7170,0.300,0.417,2,0.3,0:09:00,1:23:24,SW,,,,,,,,,,,,
1175,SW#1 Andy,,McKernan,79 AVE-112 ST,B1,11,1507,1507,ROAD ISLAND/BLVD *PIP*,ROAD ISLAND/BOULEVARD *PIP*,M2,53.515276280,-113.520063600,0.5300,0.000,0.530,2,0.3,0:00:00,1:46:00,SW,,,,,,,,,,,,
1176,SW#1 Andy,,McKernan,73 AVE: 111 - 111A ST,B1,11,1513,1513,WALKWAY,WALKWAY,M4,53.510291920,-113.517408800,0.0220,0.000,0.022,2,0.3,0:00:00,0:04:24,SW,,,,,,,,,,,,
1177,SW#1 Andy,,Pleasantview,57-59 AVE-108 ST,A2,12,1514,1514,PLEASANTVIEW PARK/PLGD,PLEASANTVIEW PARK/PLGD,PL3,53.494657650,-113.510617500,1.5660,1.016,0.550,2,0.3,0:30:29,1:50:00,SW,,,,,,,,,,,,
1178,SW#1 Andy,,Pleasantview,53 AVE-105 ST,B1,11,1515,1515,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,PL8,53.490123400,-113.500722400,0.1970,0.000,0.197,2,0.3,0:00:00,0:39:24,SW,,,,,,,,,,,,
1179,SW#1 Andy,,Pleasantview,54 AVE-105 ST,B1,11,1516,1516,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,PL10,53.491808810,-113.500706500,0.3290,0.000,0.329,2,0.3,0:00:00,1:05:48,SW,,,,,,,,,,,,
1180,SW#1 Andy,,Allendale,64A AVE-104-104A ST,B1,11,1517,1517,ROAD ISLAND (ALLEY),ROAD ISLAND (ALLEY),A5,53.501290700,-113.498668400,0.0350,0.000,0.035,2,0.3,0:00:00,0:07:00,SW,,,,,,,,,,,,
1181,SW#1 Andy,,Allendale,68 AVE-105 ST,B1,11,1518,1518,ROAD ISLAND,ROAD ISLAND,A6,53.504458880,-113.499814800,0.1140,0.000,0.114,2,0.3,0:00:00,0:22:48,SW,,,,,,,,,,,,
1182,SW#4 Kelvin,,Ogilvie Ridge,OGILVIE BLVD-OMAND DR.-EAST TO PIPELINE,B1,11,1520,1520,ROAD BUFFER,ROAD BUFFER/Backage,O16,53.463090190,-113.559856100,0.1070,0.000,0.107,2,0.3,0:00:00,0:21:24,SW,,,,,,,,,,,,
1183,SW#2 Norm,,Blue Quill,23B-24 AVE-111A ST,B1,11,1529,1529,WALKWAY,WALKWAY,BQ7,53.455802750,-113.518208700,0.0270,0.000,0.027,2,0.3,0:00:00,0:05:24,SW,,,,,,,,,,,,
1184,SW#2 Norm,,Blue Quill,24-25 AVE-116 ST,B1,11,1530,1530,WALKWAY,WALKWAY,BQ2,53.455845600,-113.529986100,0.0360,0.000,0.036,2,0.3,0:00:00,0:07:12,SW,,,,,,,,,,,,
1185,SW#2 Norm,,Blue Quill Estates,28 AVE-119 ST,A2,12,1531,1531,BLUE QUILL II SCHOOL/PARK/PLGD,BLUE QUILL II SCHOOL/PARK/PLGD,BE10,53.457265710,-113.538355900,4.3950,3.445,0.950,2,0.3,1:43:21,3:10:00,SW,,,,,,,,,,,,
1186,SW#4 Kelvin,,Bulyea Heights,Terwilleger Drive - Whitemud Drive to - 40 Ave.,B2,8,1534,1534,TERWILLEGAR DRIVE,TERWILLEGER DRIVE,1011,53.478983030,-113.572598000,1.9400,1.325,0.615,2,0.3,0:39:45,2:03:00,SW,Weekend - Roadway,,,,,,,,,,,
1187,SW#2 Norm,,Sweet Grass,33-33A AVE-112A-112B ST,B1,11,1540,1540,WALKWAY,WALKWAY,SG14,53.465670190,-113.522601500,0.0410,0.000,0.041,2,0.3,0:00:00,0:08:12,SW,,,,,,,,,,,,
1188,SW#2 Norm,,Twin Brooks,#1204 - 119 St,B1,11,1541,1541,WALKWAY,Walkway,TB21,53.443900890,-113.541338600,0.0210,0.000,0.021,2,0.3,0:00:00,0:04:12,SW,,,,,,,,,,,,
1189,SW#2 Norm,,Twin Brooks,#879 Twin Brooks Close,B1,11,1542,1542,WALKWAY,Walkway,TB13,53.448895000,-113.542891700,0.0160,0.000,0.016,2,0.3,0:00:00,0:03:12,SW,,,,,,,,,,,,
1190,SW#2 Norm,,Twin Brooks,113 ST-12 AVE,B1,11,1543,1543,WALKWAY,WALKWAY,TB4,53.443412940,-113.524728000,0.0340,0.000,0.034,2,0.3,0:00:00,0:06:48,SW,,,,,,,,,,,,
1191,SW#2 Norm,,Steinhauer,30 AVE-110-110A ST,B1,11,1546,1546,WALKWAY,WALKWAY,ST14,53.462063980,-113.514052600,0.0150,0.000,0.015,2,0.3,0:00:00,0:03:00,SW,,,,,,,,,,,,
1192,SW#1 Andy,,Duggan,3803-105 ST,B1,11,1547,1547,CHARLES ANDERSON PARK,CHARLES ANDERSON PARK,RD22,53.473414210,-113.500082100,2.1700,1.900,0.270,2,0.3,0:57:00,0:54:00,SW,,,,,,,,,,,,
1193,SW#4 Kelvin,,Henderson,#954 HEACOCK ROAD- #688 HENDERSON ST,B1,11,1549,1549,WALKWAY,WALKWAY,HE10,53.470916300,-113.596329900,0.0270,0.000,0.027,2,0.3,0:00:00,0:05:24,SW,,,,,,,,,,,,
